helpful,review
1,avid insta user use business account today somehow log business instagram account seem log back change password log via fb etc instagram wont let wont send verify code log please fix bug need business account mend organically small number
1,app great share moments choose want account private world well many cool feature also good share uplift post problem though android phone late update iphone get latest update sooner please fix rate four star fix android problem change five
1,great content something instagram primarily theres herd talented people make stuff kudos foster creative community users three star cause videos constantly get stick play clear cache instal check power save settings reboot dozen time avail laaaaame
1,instagram work anymore phone create instagram account facebook account everything fine update instagram suddenly stop refresh fee say load uninstalled app think would maybe work unable login people find profile anymore could someone help proceed
1,please put photos back order people post least give option settings something please put follow list back alphabetical order show someone follow like someone else comment take lot room follow notifications tab follow list reload back top click profile go back list say support request update click say oops error occur
1,far favorite social network though things hold would love see video playback control wait video finish play watch start rather cumbersome followers list would better alphabetical order better yet different options sort dark theme would also appreciate
1,love use instagram every options worst part instagram guy use apps coin ways increase fake real followers crazily artificially instance girl post one pic toe brush nail get 94676k like followers use useful tag good use tag educational post dont option increase followers legally seem tag arent useful get followers dont instagram stop users add fake followers dont instagram stop people sell instagra
1,everything good change feature admit quite overwhelm bother main concern direct comment actually instagram work well good hours start block comment reply anyone comment post state comment could post due restrictions certain content action protect community yet comment simple harm do hope problem soon fix
1,love app imagine day without instagram please make zoom direct camera stories front flash boomerang please android device thank one thing make front flash take pics back camera rear camera tnx hope see
1,last update app let post videos load bar stucks middle go back forth result failure upload enough load videos account video stories simply never start play matter long wait copy url paste browser order see come mess please fix
1,huge fan instagram run blog one thing really miss old look newer update instagram make ui much like ios android phone look like desperate replication job wish instagram could include dark theme settings make atleast little differentiable ios
1,first update multiple photos single post transition two photograph smooth felt like photograph stiched neither go back forth see two photos bring back update least add option say panorama select option transition smooth
1,need video playback control asap seriously videos start play automatically mute lose sound first second crucial speech videos long wait replay annoy want watch specific part come instagram stop snapchatting whole app miss important basic feature
1,uggghhh amaze app really awesome everything perfect fact post arent proper order time post drive crazy please change put back originally least option people choose thankyou would really helpful happen sure others appreciate
1,good app overall bite disappoint automatically crop image send videos longer 15 second message great find friends picture airplanes things though would crop picture message let send longer videos would awesome much appreciate
1,photos arent able post many time show post matter many time click retry still dsnt get upload resort delete app instal successful upload go back square one cycle begin
1,get incredibly frustrate use late instagram rather long time experience little issue new update every time enter app instagram say load anything random buffer page flash screen make hard close worst update
1,nothing bad get new disappear dm photos option even update app still update manual update point seem every facebook relate app pseudo update cram update whether want
